Local Government Area,Average Household Consumption (kWh per customer per day) Annual,Residential General Supply (MWh),Residential Off Peak Hot Water (MWh),Residential Total (MWh),Residential No of Off Peak Customers,Residential Total number of Customers,Number of solar customers Res,Number of solar customers Non-Res,"Solar  Generation capacity (kWp) Res
 (kWp)",Solar  Generation capacity (kWp) Non-Res (kWp),Solar Energy exported to the grid (MWh),"Non-residential small sites
(0-160 MWh pa) MWh","Non-residential small sites
(0-160 MWh pa)Number of Customers","Non-residential med-large sites
(>160 MWh pa)MWh","Non-residential med-large sites
(>160 MWh pa) Number of Customers",Year
HORNSBY,18.50,300260.00,51449.00,351708.00,21254.00,52180.00,5202.00,145.00,16014.00,2594.00,9983.00,77585.00,4102.00,156251.00,272.00,2017
HUNTERS HILL,21.80,40845.00,3071.00,43916.00,1423.00,5519.00,308.00,14.00,1088.00,116.00,587.00,8802.00,427.00,16176.00,28.00,2017
INNER WEST,11.70,343378.00,13806.00,357185.00,9358.00,83944.00,3344.00,291.00,9001.00,5954.00,6613.00,172729.00,8794.00,229303.00,475.00,2017
KU-RING-GAI,22.20,320420.00,34996.00,355416.00,15479.00,43907.00,3043.00,85.00,10818.00,1548.00,5565.00,55633.00,2633.00,95661.00,181.00,2017
LAKE MACQUARIE,17.00,419635.00,105721.00,525356.00,53881.00,84570.00,12324.00,356.00,38503.00,6807.00,29014.00,118850.00,6584.00,199323.00,408.00,2017
LANE COVE,16.00,85890.00,4588.00,90478.00,2438.00,15537.00,736.00,44.00,2546.00,455.00,1357.00,36433.00,1498.00,63214.00,152.00,2017
MAITLAND,18.10,183129.00,27440.00,210570.00,13259.00,31925.00,4692.00,175.00,16527.00,4819.00,11783.00,59121.00,2871.00,98251.00,197.00,2017
MOSMAN,17.80,87576.00,4173.00,91750.00,2002.00,14091.00,406.00,21.00,1528.00,170.00,767.00,21791.00,1235.00,19756.00,65.00,2017
MUSWELLBROOK,21.40,46519.00,10283.00,56802.00,4474.00,7271.00,768.00,65.00,3206.00,1105.00,2787.00,36651.00,1353.00,27433.00,71.00,2017
NEWCASTLE,13.80,304621.00,54416.00,359037.00,30485.00,71091.00,7221.00,386.00,20951.00,7094.00,16845.00,169218.00,7810.00,284706.00,558.00,2017
NORTH SYDNEY,11.60,159925.00,5503.00,165428.00,2917.00,39142.00,429.00,79.00,1306.00,1215.00,892.00,138584.00,6210.00,206475.00,419.00,2017
NORTHERN BEACHES,15.90,548485.00,65157.00,613642.00,32859.00,105854.00,7181.00,294.00,22642.00,4691.00,14605.00,207889.00,11184.00,322143.00,550.00,2017
PARRAMATTA,11.70,72797.00,5739.00,78535.00,2576.00,18457.00,1837.00,113.00,2841.00,2270.00,2643.00,58105.00,1744.00,286963.00,331.00,2017
PORT STEPHENS,17.10,165088.00,46021.00,211109.00,23671.00,33813.00,4974.00,156.00,16319.00,3073.00,12081.00,53590.00,2924.00,101280.00,203.00,2017
RANDWICK,12.80,267241.00,20556.00,287796.00,10541.00,61795.00,2061.00,113.00,6606.00,2547.00,4287.00,77537.00,3468.00,193411.00,273.00,2017
RYDE,13.90,226542.00,22294.00,248836.00,10605.00,49030.00,2687.00,123.00,7734.00,2074.00,5100.00,110658.00,4210.00,437933.00,591.00,2017
SINGLETON,23.00,67599.00,14040.00,81639.00,6138.00,9730.00,1491.00,93.00,6517.00,1650.00,4480.00,35384.00,1694.00,52420.00,99.00,2017
STRATHFIELD,14.40,77487.00,4522.00,82009.00,2328.00,15573.00,681.00,48.00,2152.00,2920.00,1361.00,39781.00,1554.00,120073.00,183.00,2017
SUTHERLAND,19.10,500922.00,108320.00,609242.00,43177.00,87435.00,6699.00,232.00,21341.00,4211.00,13989.00,143840.00,7632.00,238533.00,376.00,2017
SYDNEY,10.10,401651.00,9322.00,410973.00,5077.00,111113.00,869.00,643.00,2423.00,9116.00,2107.00,754052.00,31471.00,2252948.00,3054.00,2017
UPPER HUNTER,21.50,36721.00,7979.00,44700.00,3537.00,5705.00,703.00,83.00,3008.00,1301.00,2531.00,29607.00,1254.00,13639.00,42.00,2017
WAVERLEY,13.10,157750.00,5436.00,163185.00,3411.00,34243.00,817.00,61.00,2615.00,699.00,1794.00,54996.00,2734.00,115471.00,169.00,2017
WILLOUGHBY,14.90,159527.00,8877.00,168404.00,4971.00,30939.00,1523.00,115.00,4861.00,1630.00,3153.00,117561.00,4968.00,285068.00,380.00,2017
WOOLLAHRA,18.90,183338.00,8500.00,191838.00,4150.00,27775.00,524.00,50.00,2228.00,504.00,1141.00,56088.00,2924.00,53815.00,123.00,2017
Total 2017,15.20,7531631.00,1014707.00,8546338.00,487222.00,1540580.00,110441.00,5653.00,340851.00,107831.00,239651.00,3524751.00,165354.00,13181901.00,12618.00,2017
BAYSIDE,12.50,275638.00,29477.00,305115.00,15530.00,66978.00,2842.00,190.00,9173.00,3901.00,5848.00,136397.00,5968.00,247791.00,472.00,2018
BURWOOD,12.80,64430.00,3815.00,68245.00,2241.00,14555.00,684.00,35.00,2227.00,632.00,1434.00,41423.00,1814.00,85936.00,110.00,2018
CANADA BAY,13.50,178405.00,8683.00,187087.00,5259.00,38053.00,1601.00,85.00,5889.00,3572.00,3428.00,67815.00,2899.00,130204.00,226.00,2018
CANTERBURY-BANKSTOWN,15.30,644476.00,81360.00,725835.00,37011.00,129998.00,9947.00,561.00,32003.00,16132.00,20382.00,231607.00,11801.00,541472.00,740.00,2018
CENTRAL COAST,16.50,737559.00,169939.00,907498.00,81335.00,151040.00,21015.00,674.00,75425.00,19186.00,55255.00,222132.00,11905.00,541974.00,722.00,2018
CESSNOCK,19.00,145116.00,22061.00,167177.00,10761.00,24125.00,4329.00,204.00,19434.00,4745.00,11923.00,43136.00,1809.00,71970.00,134.00,2018
CUMBERLAND,13.30,102960.00,9101.00,112060.00,4096.00,23049.00,1788.00,118.00,5312.00,3596.00,3833.00,69427.00,2605.00,149244.00,240.00,2018
GEORGES RIVER,14.80,269979.00,41130.00,311109.00,19428.00,57591.00,3923.00,160.00,12931.00,3326.00,7693.00,89799.00,5381.00,167574.00,229.00,2018
HORNSBY,18.40,302537.00,50502.00,353039.00,21050.00,52572.00,5993.00,155.00,22336.00,3452.00,11774.00,76862.00,4131.00,153475.00,261.00,2018
HUNTERS HILL,22.10,41563.00,3028.00,44591.00,1398.00,5527.00,362.00,12.00,1461.00,116.00,648.00,8431.00,425.00,15579.00,27.00,2018
INNER WEST,11.70,347086.00,13492.00,360578.00,9191.00,84326.00,3901.00,315.00,12151.00,6632.00,7921.00,171428.00,8702.00,223623.00,453.00,2018
KU-RING-GAI,22.20,324006.00,34063.00,358069.00,15262.00,44236.00,3631.00,87.00,15385.00,2041.00,6831.00,56463.00,2633.00,95252.00,174.00,2018
LAKE MACQUARIE,17.20,431617.00,104528.00,536145.00,53605.00,85589.00,14621.00,406.00,55332.00,8964.00,36288.00,119210.00,6619.00,192764.00,396.00,2018
LANE COVE,15.90,86791.00,4417.00,91208.00,2381.00,15730.00,878.00,42.00,3565.00,770.00,1703.00,37351.00,1490.00,60735.00,137.00,2018
MAITLAND,18.20,190944.00,26960.00,217903.00,13191.00,32731.00,5914.00,196.00,25527.00,6000.00,16189.00,60849.00,2887.00,98428.00,186.00,2018
MOSMAN,17.90,87810.00,4014.00,91824.00,1962.00,14076.00,492.00,19.00,2163.00,217.00,997.00,21953.00,1219.00,18057.00,57.00,2018
MUSWELLBROOK,21.60,47030.00,10050.00,57079.00,4450.00,7246.00,920.00,74.00,4442.00,1381.00,3345.00,36190.00,1350.00,24368.00,59.00,2018
NEWCASTLE,14.00,313648.00,52861.00,366510.00,30202.00,71728.00,8332.00,413.00,28581.00,11414.00,38062.00,173336.00,7865.00,279430.00,514.00,2018
NORTH SYDNEY,11.60,161743.00,5288.00,167031.00,2876.00,39478.00,502.00,60.00,1741.00,1210.00,1037.00,136303.00,6161.00,199031.00,391.00,2018
NORTHERN BEACHES,15.80,553259.00,63637.00,616897.00,32454.00,106646.00,8262.00,286.00,30565.00,6079.00,16804.00,205695.00,11082.00,316996.00,523.00,2018
PARRAMATTA,11.60,76628.00,5686.00,82313.00,2544.00,19487.00,1897.00,102.00,3452.00,3922.00,2731.00,58562.00,1713.00,287686.00,330.00,2018
PORT STEPHENS,17.10,168317.00,45148.00,213465.00,23588.00,34180.00,5984.00,165.00,23578.00,3834.00,15702.00,54773.00,2920.00,98840.00,192.00,2018
RANDWICK,12.70,265751.00,19711.00,285463.00,10333.00,61783.00,2410.00,110.00,8965.00,2844.00,5444.00,76999.00,3498.00,188511.00,256.00,2018
RYDE,13.80,230973.00,21524.00,252497.00,10392.00,50127.00,3049.00,99.00,10426.00,2700.00,5789.00,112963.00,4144.00,430840.00,554.00,2018
SINGLETON,23.10,68901.00,13689.00,82590.00,6114.00,9788.00,1791.00,110.00,9080.00,2777.00,5842.00,36225.00,1688.00,54173.00,93.00,2018
STRATHFIELD,14.50,79130.00,4330.00,83460.00,2275.00,15764.00,780.00,59.00,2913.00,4186.00,1609.00,41233.00,1573.00,117984.00,183.00,2018
SUTHERLAND,19.00,506895.00,106818.00,613713.00,42787.00,88288.00,8030.00,243.00,30851.00,5234.00,17665.00,144122.00,7834.00,234727.00,364.00,2018
SYDNEY,10.10,405347.00,9190.00,414537.00,5006.00,112491.00,1007.00,395.00,3121.00,8667.00,2624.00,765552.00,31234.00,2188958.00,2805.00,2018
UPPER HUNTER,21.50,37417.00,7606.00,45023.00,3524.00,5737.00,879.00,94.00,4482.00,1673.00,3333.00,27044.00,1245.00,12118.00,35.00,2018
WAVERLEY,13.00,157047.00,5169.00,162217.00,3334.00,34174.00,971.00,57.00,3641.00,1099.00,3743.00,54462.00,2713.00,110685.00,163.00,2018
WILLOUGHBY,14.90,160995.00,8393.00,169388.00,4846.00,31229.00,1797.00,108.00,6765.00,2203.00,3718.00,116980.00,5009.00,278867.00,355.00,2018
WOOLLAHRA,18.90,184467.00,8129.00,192596.00,4070.00,27907.00,631.00,43.00,3155.00,588.00,1333.00,55203.00,2891.00,51202.00,110.00,2018
Total 2018,15.20,7649219.00,993914.00,8643133.00,482542.00,1556327.00,129194.00,5685.00,476258.00,143674.00,320947.00,3551105.00,165248.00,13050572.00,11917.00,2018
BAYSIDE,12.40,277840.00,28618.00,306458.00,15314.00,67909.00,3134.00,212.00,11308.00,4871.00,7584.00,128058.00,6121.00,233729.00,466.00,2019
BURWOOD,12.60,63676.00,3638.00,67314.00,2196.00,14600.00,753.00,38.00,2739.00,674.00,1696.00,33985.00,1588.00,86847.00,114.00,2019
CANADA BAY,13.30,177872.00,8305.00,186177.00,5075.00,38223.00,1805.00,99.00,7294.00,3950.00,4406.00,60293.00,2812.00,123356.00,221.00,2019
CANTERBURY-BANKSTOWN,15.10,641654.00,79006.00,720661.00,36476.00,131013.00,10900.00,631.00,38988.00,17862.00,26313.00,216785.00,11779.00,509352.00,731.00,2019
CUMBERLAND,13.10,101905.00,8697.00,110602.00,4027.00,23149.00,1908.00,129.00,6195.00,4167.00,4519.00,66148.00,2618.00,138884.00,237.00,2019
GEORGES RIVER,14.60,269980.00,39761.00,309741.00,19182.00,58079.00,4351.00,181.00,15977.00,3850.00,9931.00,84134.00,5405.00,158750.00,233.00,2019
HORNSBY,18.20,301328.00,49437.00,350766.00,20861.00,52676.00,6789.00,180.00,28250.00,4519.00,16246.00,71304.00,4198.00,141425.00,256.00,2019
HUNTERS HILL,21.80,41256.00,2965.00,44220.00,1368.00,5557.00,424.00,13.00,1927.00,126.00,858.00,7963.00,436.00,14420.00,26.00,2019
INNER WEST,11.70,349231.00,12430.00,361661.00,8948.00,84795.00,4316.00,347.00,14813.00,7634.00,9672.00,163004.00,8671.00,214267.00,435.00,2019
KU-RING-GAI,21.80,321931.00,32887.00,354818.00,15004.00,44658.00,4187.00,94.00,19783.00,2238.00,9144.00,53447.00,2680.00,93260.00,173.00,2019
LANE COVE,15.50,88120.00,4203.00,92323.00,2323.00,16350.00,1001.00,44.00,4439.00,807.00,2233.00,34769.00,1555.00,59379.00,135.00,2019
MOSMAN,18.00,88281.00,3897.00,92177.00,1915.00,14064.00,580.00,23.00,2842.00,372.00,1289.00,20820.00,1213.00,16502.00,52.00,2019
NORTH SYDNEY,11.70,164683.00,5107.00,169790.00,2825.00,39654.00,581.00,67.00,2281.00,1286.00,1290.00,124810.00,6143.00,189370.00,374.00,2019
NORTHERN BEACHES,16.00,563225.00,61731.00,624956.00,31937.00,106979.00,9414.00,342.00,38716.00,7488.00,21566.00,192443.00,11142.00,295043.00,517.00,2019
PARRAMATTA,11.40,78614.00,5570.00,84183.00,2514.00,20201.00,2028.00,115.00,4391.00,4381.00,2798.00,55328.00,1730.00,271294.00,337.00,2019
RANDWICK,12.60,267170.00,18538.00,285708.00,10137.00,61931.00,2680.00,126.00,10827.00,3297.00,6933.00,74103.00,3533.00,176486.00,246.00,2019
RYDE,13.80,233141.00,20663.00,253804.00,10209.00,50513.00,3481.00,113.00,13544.00,3086.00,7616.00,107998.00,4177.00,406444.00,553.00,2019
STRATHFIELD,14.20,78334.00,4142.00,82476.00,2214.00,15864.00,859.00,64.00,3603.00,5408.00,2198.00,40033.00,1587.00,114356.00,186.00,2019
SUTHERLAND,18.90,508842.00,105888.00,614729.00,42389.00,89128.00,9255.00,277.00,39955.00,6024.00,24078.00,136435.00,8007.00,218620.00,363.00,2019
SYDNEY,10.00,403913.00,8561.00,412474.00,4927.00,113314.00,1100.00,408.00,3618.00,9576.00,3319.00,699108.00,31035.00,2013802.00,2699.00,2019
WAVERLEY,13.00,158137.00,4784.00,162921.00,3229.00,34303.00,1083.00,60.00,4469.00,1214.00,2604.00,51176.00,2721.00,101197.00,161.00,2019
WILLOUGHBY,14.90,161838.00,7989.00,169826.00,4672.00,31313.00,2032.00,122.00,8627.00,2437.00,5120.00,107076.00,5026.00,262893.00,343.00,2019
WOOLLAHRA,18.90,185504.00,7610.00,193114.00,3986.00,28007.00,702.00,48.00,3769.00,660.00,1646.00,50558.00,2874.00,48445.00,108.00,2019
CENTRAL COAST,16.40,740013.00,171827.00,911841.00,80967.00,152054.00,23843.00,764.00,95305.00,22654.00,64508.00,205419.00,11916.00,511600.00,720.00,2019
CESSNOCK,18.30,143766.00,21633.00,165399.00,10702.00,24761.00,5117.00,240.00,25372.00,10670.00,17479.00,38371.00,1804.00,71589.00,135.00,2019
LAKE MACQUARIE,17.00,431483.00,103986.00,535469.00,53325.00,86467.00,16858.00,467.00,71202.00,10350.00,48976.00,114994.00,6673.00,182208.00,388.00,2019
MAITLAND,17.40,186509.00,26372.00,212881.00,13102.00,33584.00,6981.00,234.00,33511.00,7002.00,23975.00,57758.00,2904.00,92526.00,179.00,2019
MUSWELLBROOK,21.20,45972.00,10090.00,56062.00,4432.00,7238.00,1075.00,79.00,5559.00,1496.00,4469.00,34282.00,1346.00,23641.00,57.00,2019
NEWCASTLE,13.70,310556.00,52335.00,362891.00,29934.00,72361.00,9502.00,474.00,36451.00,17629.00,30682.00,158203.00,7910.00,267042.00,508.00,2019
PORT STEPHENS,16.70,166628.00,44581.00,211209.00,23493.00,34551.00,6873.00,202.00,29920.00,5158.00,21711.00,52047.00,2945.00,92560.00,193.00,2019
SINGLETON,22.30,66958.00,13480.00,80438.00,6088.00,9870.00,2076.00,124.00,11412.00,4980.00,8847.00,34645.00,1671.00,45571.00,93.00,2019
UPPER HUNTER,21.00,36709.00,7493.00,44202.00,3520.00,5756.00,1004.00,103.00,5439.00,1776.00,4610.00,24176.00,1240.00,10388.00,33.00,2019
Total 2019,15.10,7655851.00,976334.00,8632183.00,477331.00,1569025.00,146704.00,6421.00,602564.00,177679.00,398341.00,3301311.00,165511.00,12843725.00,11718.00,2019
BAYSIDE,12.40,282447.00,28205.00,310652.00,15152.00,68385.00,3835.00,239.00,16653.00,5505.00,11704.00,126260.00,6232.00,231664.00,451.00,2020
BURWOOD,12.40,63397.00,3525.00,66922.00,2165.00,14751.00,896.00,45.00,3889.00,812.00,2534.00,34494.00,1606.00,85330.00,115.00,2020
CANADA BAY,13.40,179613.00,8194.00,187806.00,4960.00,38539.00,2190.00,107.00,10523.00,4043.00,7356.00,59313.00,2859.00,116647.00,216.00,2020
CANTERBURY-BANKSTOWN,15.00,649150.00,77603.00,726753.00,36029.00,132350.00,13057.00,729.00,56086.00,22138.00,40909.00,216296.00,11897.00,506226.00,713.00,2020
CUMBERLAND,12.80,100807.00,8459.00,109266.00,3966.00,23332.00,2280.00,155.00,9179.00,5029.00,7006.00,66374.00,2648.00,129533.00,231.00,2020
GEORGES RIVER,14.70,274548.00,39403.00,313951.00,18966.00,58545.00,5312.00,204.00,24206.00,5762.00,15778.00,83392.00,5458.00,157453.00,238.00,2020
HORNSBY,18.30,304963.00,50370.00,355333.00,20750.00,53071.00,8250.00,207.00,40686.00,5227.00,24408.00,71070.00,4228.00,141324.00,250.00,2020
HUNTERS HILL,21.60,41192.00,2997.00,44189.00,1342.00,5597.00,498.00,14.00,2535.00,185.00,1306.00,7886.00,443.00,14224.00,26.00,2020
INNER WEST,11.70,351803.00,12115.00,363919.00,8803.00,85271.00,5100.00,385.00,19958.00,8754.00,13651.00,161857.00,8709.00,212403.00,432.00,2020
KU-RING-GAI,21.90,325971.00,33122.00,359093.00,14743.00,44944.00,5210.00,112.00,29157.00,2787.00,13909.00,52995.00,2716.00,92572.00,170.00,2020
LANE COVE,15.60,89969.00,4158.00,94127.00,2253.00,16532.00,1203.00,48.00,6251.00,911.00,3276.00,34715.00,1597.00,59713.00,136.00,2020
MOSMAN,18.00,89036.00,3734.00,92770.00,1867.00,14121.00,719.00,26.00,4077.00,449.00,2072.00,21195.00,1220.00,16164.00,47.00,2020
NORTH SYDNEY,11.60,163938.00,4870.00,168808.00,2780.00,39708.00,694.00,75.00,3070.00,1460.00,1897.00,115932.00,6305.00,189261.00,353.00,2020
NORTHERN BEACHES,16.20,573906.00,60944.00,634849.00,31244.00,107534.00,11475.00,407.00,55394.00,9404.00,32749.00,188089.00,11282.00,294507.00,508.00,2020
PARRAMATTA,11.50,80817.00,5559.00,86377.00,2492.00,20544.00,2241.00,127.00,6050.00,4698.00,4127.00,54458.00,1753.00,265676.00,334.00,2020
RANDWICK,12.70,269309.00,18126.00,287435.00,9980.00,62212.00,3314.00,146.00,15715.00,3947.00,10013.00,73574.00,3520.00,175401.00,241.00,2020
RYDE,13.70,233915.00,20132.00,254048.00,10063.00,50785.00,4207.00,143.00,19452.00,3973.00,12097.00,107627.00,4258.00,391838.00,557.00,2020
STRATHFIELD,14.00,77776.00,4085.00,81861.00,2168.00,15970.00,1047.00,79.00,5326.00,6520.00,3837.00,40671.00,1671.00,113687.00,185.00,2020
SUTHERLAND,19.00,516555.00,106814.00,623369.00,42081.00,90023.00,11330.00,328.00,57238.00,7464.00,36779.00,137172.00,8120.00,215468.00,363.00,2020
SYDNEY,9.80,399910.00,8335.00,408245.00,4909.00,114385.00,1309.00,441.00,4859.00,11153.00,4879.00,646382.00,31357.00,1866641.00,2632.00,2020
WAVERLEY,13.00,159637.00,4506.00,164143.00,3144.00,34492.00,1329.00,64.00,6275.00,1286.00,3737.00,49438.00,2727.00,95555.00,162.00,2020
WILLOUGHBY,14.90,163490.00,7778.00,171268.00,4524.00,31532.00,2471.00,141.00,12242.00,3375.00,7098.00,99355.00,5071.00,248921.00,338.00,2020
WOOLLAHRA,19.00,187488.00,7355.00,194843.00,3903.00,28154.00,857.00,59.00,5057.00,789.00,2425.00,50229.00,2865.00,48143.00,107.00,2020
CENTRAL COAST,16.50,749994.00,175439.00,925433.00,80849.00,153586.00,27926.00,866.00,129951.00,25729.00,94070.00,208283.00,12158.00,507257.00,710.00,2020
CESSNOCK,18.00,145062.00,22340.00,167403.00,10649.00,25467.00,6119.00,269.00,34437.00,11315.00,32557.00,38709.00,1843.00,73069.00,135.00,2020
LAKE MACQUARIE,16.90,433831.00,106993.00,540824.00,53161.00,87604.00,19815.00,539.00,96356.00,12552.00,71404.00,118245.00,6796.00,189172.00,392.00,2020
MAITLAND,16.80,186156.00,27389.00,213546.00,13032.00,34800.00,8541.00,268.00,46886.00,8038.00,36535.00,59162.00,2960.00,91107.00,171.00,2020
MUSWELLBROOK,20.20,43568.00,10160.00,53728.00,4443.00,7289.00,1306.00,94.00,7704.00,1825.00,6401.00,28307.00,1347.00,19973.00,52.00,2020
